,sentiment,review,review_tokens,review_tokens_fdist,review_tokens_WSW,review_normalized,review_tokens_stemmed
10,1,pemandangan sangat indah dengan telaga warna serta penataan kebunnya lebih lebih cuaca sangat dingin sangat direkomendasikan untuk datang ketempat ini menghilangkan stress apalagi masa pandemi ini tapi ingat untuk tetap mematuhi protokol kesehatan,"['pemandangan', 'sangat', 'indah', 'dengan', 'telaga', 'warna', 'serta', 'penataan', 'kebunnya', 'lebih', 'lebih', 'cuaca', 'sangat', 'dingin', 'sangat', 'direkomendasikan', 'untuk', 'datang', 'ketempat', 'ini', 'menghilangkan', 'stress', 'apalagi', 'masa', 'pandemi', 'ini', 'tapi', 'ingat', 'untuk', 'tetap', 'mematuhi', 'protokol', 'kesehatan']",<FreqDist with 28 samples and 33 outcomes>,"['pemandangan', 'indah', 'telaga', 'warna', 'penataan', 'kebunnya', 'cuaca', 'dingin', 'direkomendasikan', 'ketempat', 'menghilangkan', 'stress', 'pandemi', 'mematuhi', 'protokol', 'kesehatan']","['pemandangan', 'indah', 'telaga', 'warna', 'penataan', 'kebunnya', 'cuaca', 'dingin', 'direkomendasikan', 'ketempat', 'menghilangkan', 'stress', 'pandemi', 'mematuhi', 'protokol', 'kesehatan']","['pandang', 'indah', 'telaga', 'warna', 'tata', 'kebun', 'cuaca', 'dingin', 'rekomendasi', 'tempat', 'hilang', 'stress', 'pandemi', 'patuh', 'protokol', 'sehat']"
11,1,bagus sekali view batu pandang ratap angin luar biasa juarawonderfull indonesia,"['bagus', 'sekali', 'view', 'batu', 'pandang', 'ratap', 'angin', 'luar', 'biasa', 'juarawonderfull', 'indonesia']",<FreqDist with 11 samples and 11 outcomes>,"['bagus', 'view', 'batu', 'pandang', 'ratap', 'angin', 'juarawonderfull', 'indonesia']","['bagus', 'view', 'batu', 'pandang', 'ratap', 'angin', 'juarawonderfull', 'indonesia']","['bagus', 'view', 'batu', 'pandang', 'ratap', 'angin', 'juarawonderfull', 'indonesia']"
12,0,rekomendasi ke sana saat weekday supaya tidak terlalu ramai dan antritiket per orang rupiahterdapat toilet namun kurang terawat dan terjaga kebersihannyauntuk parkir roda hanya rupiah,"['rekomendasi', 'ke', 'sana', 'saat', 'weekday', 'supaya', 'tidak', 'terlalu', 'ramai', 'dan', 'antritiket', 'per', 'orang', 'rupiahterdapat', 'toilet', 'namun', 'kurang', 'terawat', 'dan', 'terjaga', 'kebersihannyauntuk', 'parkir', 'roda', 'hanya', 'rupiah']",<FreqDist with 24 samples and 25 outcomes>,"['rekomendasi', 'weekday', 'ramai', 'antritiket', 'rupiahterdapat', 'toilet', 'terawat', 'terjaga', 'kebersihannyauntuk', 'parkir', 'roda', 'rupiah']","['rekomendasi', 'weekday', 'ramai', 'antritiket', 'rupiahterdapat', 'toilet', 'terawat', 'terjaga', 'kebersihannyauntuk', 'parkir', 'roda', 'rupiah']","['rekomendasi', 'weekday', 'ramai', 'antritiket', 'rupiahterdapat', 'toilet', 'awat', 'jaga', 'kebersihannyauntuk', 'parkir', 'roda', 'rupiah']"
13,1,tempat dg view yg bagus bersih keren deh pokoknya,"['tempat', 'dg', 'view', 'yg', 'bagus', 'bersih', 'keren', 'deh', 'pokoknya']",<FreqDist with 9 samples and 9 outcomes>,"['view', 'bagus', 'bersih', 'keren', 'pokoknya']","['view', 'bagus', 'bersih', 'keren', 'pokoknya']","['view', 'bagus', 'bersih', 'keren', 'pokok']"
14,1,pemandangan yang super amazing disajikan disini naik dari parkiran ke atas ga jauh dan banyak spot foto disni tiket ,"['pemandangan', 'yang', 'super', 'amazing', 'disajikan', 'disini', 'naik', 'dari', 'parkiran', 'ke', 'atas', 'ga', 'jauh', 'dan', 'banyak', 'spot', 'foto', 'disni', 'tiket']",<FreqDist with 19 samples and 19 outcomes>,"['pemandangan', 'super', 'amazing', 'disajikan', 'parkiran', 'spot', 'foto', 'disni', 'tiket']","['pemandangan', 'super', 'amazing', 'disajikan', 'parkiran', 'spot', 'foto', 'disni', 'tiket']","['pandang', 'super', 'amazing', 'saji', 'parkir', 'spot', 'foto', 'disni', 'tiket']"
15,0,pas ke sini masih masa pandemik termasuk sepi dan beberapa tempat itu masih ditutup untuk sampai naik ke atas sebentar saja menit dari parkiran karena kalo dari dieng ke sini sebentar menit udah nanjak pakai kendaraan,"['pas', 'ke', 'sini', 'masih', 'masa', 'pandemik', 'termasuk', 'sepi', 'dan', 'beberapa', 'tempat', 'itu', 'masih', 'ditutup', 'untuk', 'sampai', 'naik', 'ke', 'atas', 'sebentar', 'saja', 'menit', 'dari', 'parkiran', 'karena', 'kalo', 'dari', 'dieng', 'ke', 'sini', 'sebentar', 'menit', 'udah', 'nanjak', 'pakai', 'kendaraan']",<FreqDist with 29 samples and 36 outcomes>,"['pas', 'pandemik', 'sepi', 'ditutup', 'sebentar', 'menit', 'parkiran', 'dieng', 'sebentar', 'menit', 'nanjak', 'pakai', 'kendaraan']","['pas', 'pandemik', 'sepi', 'ditutup', 'sebentar', 'menit', 'parkiran', 'dieng', 'sebentar', 'menit', 'nanjak', 'pakai', 'kendaraan']","['pas', 'pandemik', 'sepi', 'tutup', 'sebentar', 'menit', 'parkir', 'dieng', 'sebentar', 'menit', 'nanjak', 'pakai', 'kendara']"
16,1,view bagus kebersihan baik ga bakal kecewa,"['view', 'bagus', 'kebersihan', 'baik', 'ga', 'bakal', 'kecewa']",<FreqDist with 7 samples and 7 outcomes>,"['view', 'bagus', 'kebersihan', 'kecewa']","['view', 'bagus', 'kebersihan', 'kecewa']","['view', 'bagus', 'bersih', 'kecewa']"
17,0,banyak lokasi foto spot dari ketinggian yg baru dibuat dan harus menaiki beberapa anak tangga htm rborang namun sekarang ini banyak kios pedagang didalam lokasi yg cukup mengganggu keindahan,"['banyak', 'lokasi', 'foto', 'spot', 'dari', 'ketinggian', 'yg', 'baru', 'dibuat', 'dan', 'harus', 'menaiki', 'beberapa', 'anak', 'tangga', 'htm', 'rborang', 'namun', 'sekarang', 'ini', 'banyak', 'kios', 'pedagang', 'didalam', 'lokasi', 'yg', 'cukup', 'mengganggu', 'keindahan']",<FreqDist with 26 samples and 29 outcomes>,"['lokasi', 'foto', 'spot', 'ketinggian', 'anak', 'tangga', 'htm', 'rborang', 'kios', 'pedagang', 'didalam', 'lokasi', 'mengganggu', 'keindahan']","['lokasi', 'foto', 'spot', 'ketinggian', 'anak', 'tangga', 'htm', 'rborang', 'kios', 'pedagang', 'didalam', 'lokasi', 'mengganggu', 'keindahan']","['lokasi', 'foto', 'spot', 'tinggi', 'anak', 'tangga', 'htm', 'rborang', 'kios', 'dagang', 'dalam', 'lokasi', 'ganggu', 'indah']"
18,1,wisata yg satu ini sangat indah,"['wisata', 'yg', 'satu', 'ini', 'sangat', 'indah']",<FreqDist with 6 samples and 6 outcomes>,"['wisata', 'indah']","['wisata', 'indah']","['wisata', 'indah']"
19,0,view ya bagus perbukitan hijau telaga warna dan telaga pengilon untuk htm terjangkau untuk menu makanan disana kurang begitu enak dan harganya cukup mahal,"['view', 'ya', 'bagus', 'perbukitan', 'hijau', 'telaga', 'warna', 'dan', 'telaga', 'pengilon', 'untuk', 'htm', 'terjangkau', 'untuk', 'menu', 'makanan', 'disana', 'kurang', 'begitu', 'enak', 'dan', 'harganya', 'cukup', 'mahal']",<FreqDist with 21 samples and 24 outcomes>,"['view', 'bagus', 'perbukitan', 'hijau', 'telaga', 'warna', 'telaga', 'pengilon', 'htm', 'terjangkau', 'menu', 'makanan', 'disana', 'harganya', 'mahal']","['view', 'bagus', 'perbukitan', 'hijau', 'telaga', 'warna', 'telaga', 'pengilon', 'htm', 'terjangkau', 'menu', 'makanan', 'disana', 'harganya', 'mahal']","['view', 'bagus', 'bukit', 'hijau', 'telaga', 'warna', 'telaga', 'pengilon', 'htm', 'jangkau', 'menu', 'makan', 'sana', 'harga', 'mahal']"
20,1,spot foto cakep terutama foto ke arah telaga warna bersih dan terawat petugas ramah,"['spot', 'foto', 'cakep', 'terutama', 'foto', 'ke', 'arah', 'telaga', 'warna', 'bersih', 'dan', 'terawat', 'petugas', 'ramah']",<FreqDist with 13 samples and 14 outcomes>,"['spot', 'foto', 'cakep', 'foto', 'arah', 'telaga', 'warna', 'bersih', 'terawat', 'petugas', 'ramah']","['spot', 'foto', 'cakep', 'foto', 'arah', 'telaga', 'warna', 'bersih', 'terawat', 'petugas', 'ramah']","['spot', 'foto', 'cakep', 'foto', 'arah', 'telaga', 'warna', 'bersih', 'awat', 'tugas', 'ramah']"
21,0,tempatnya bagus tp ada bbrp tangga yg kalo mau naik kesana harus bayar lagi,"['tempatnya', 'bagus', 'tp', 'ada', 'bbrp', 'tangga', 'yg', 'kalo', 'mau', 'naik', 'kesana', 'harus', 'bayar', 'lagi']",<FreqDist with 14 samples and 14 outcomes>,"['tempatnya', 'bagus', 'bbrp', 'tangga', 'kesana', 'bayar']","['tempatnya', 'bagus', 'bbrp', 'tangga', 'kesana', 'bayar']","['tempat', 'bagus', 'bbrp', 'tangga', 'kesana', 'bayar']"
22,0,lumayan bagus viewnya tp biaya masuknya terbilang cukup mahal ya ceu,"['lumayan', 'bagus', 'viewnya', 'tp', 'biaya', 'masuknya', 'terbilang', 'cukup', 'mahal', 'ya', 'ceu']",<FreqDist with 11 samples and 11 outcomes>,"['lumayan', 'bagus', 'viewnya', 'biaya', 'masuknya', 'terbilang', 'mahal', 'ceu']","['lumayan', 'bagus', 'viewnya', 'biaya', 'masuknya', 'terbilang', 'mahal', 'ceu']","['lumayan', 'bagus', 'viewnya', 'biaya', 'masuk', 'bilang', 'mahal', 'ceu']"
23,0,bagus cuma kurang terawat,"['bagus', 'cuma', 'kurang', 'terawat']",<FreqDist with 4 samples and 4 outcomes>,"['bagus', 'terawat']","['bagus', 'terawat']","['bagus', 'awat']"
24,0,harus lebih bersih yaaa next nya,"['harus', 'lebih', 'bersih', 'yaaa', 'next', 'nya']",<FreqDist with 6 samples and 6 outcomes>,"['bersih', 'next']","['bersih', 'next']","['bersih', 'next']"
25,0,akses bagus view juara hanya tempat parkir yg berharap lbh bisa dirapikan kamar mandi juga bbrp kurang bersih bau tak sedap tiket untuk lokal harusnya bisa untuk perawatan lebih baik lagi,"['akses', 'bagus', 'view', 'juara', 'hanya', 'tempat', 'parkir', 'yg', 'berharap', 'lbh', 'bisa', 'dirapikan', 'kamar', 'mandi', 'juga', 'bbrp', 'kurang', 'bersih', 'bau', 'tak', 'sedap', 'tiket', 'untuk', 'lokal', 'harusnya', 'bisa', 'untuk', 'perawatan', 'lebih', 'baik', 'lagi']",<FreqDist with 29 samples and 31 outcomes>,"['akses', 'bagus', 'view', 'juara', 'parkir', 'berharap', 'dirapikan', 'kamar', 'mandi', 'bbrp', 'bersih', 'bau', 'sedap', 'tiket', 'lokal', 'perawatan']","['akses', 'bagus', 'view', 'juara', 'parkir', 'berharap', 'dirapikan', 'kamar', 'mandi', 'bbrp', 'bersih', 'bau', 'sedap', 'tiket', 'lokal', 'perawatan']","['akses', 'bagus', 'view', 'juara', 'parkir', 'harap', 'rapi', 'kamar', 'mandi', 'bbrp', 'bersih', 'bau', 'sedap', 'tiket', 'lokal', 'awat']"
26,0,kecewa dengan pedagang ibu yg ada di loket tempat parkir yg di atas bukan petugas tp ngaku petugas dan ngomong nya nyolot di toilet cuma mau ganti pampers anak tetep ngitung orang,"['kecewa', 'dengan', 'pedagang', 'ibu', 'yg', 'ada', 'di', 'loket', 'tempat', 'parkir', 'yg', 'di', 'atas', 'bukan', 'petugas', 'tp', 'ngaku', 'petugas', 'dan', 'ngomong', 'nya', 'nyolot', 'di', 'toilet', 'cuma', 'mau', 'ganti', 'pampers', 'anak', 'tetep', 'ngitung', 'orang']",<FreqDist with 28 samples and 32 outcomes>,"['kecewa', 'pedagang', 'loket', 'parkir', 'petugas', 'ngaku', 'petugas', 'ngomong', 'nyolot', 'toilet', 'ganti', 'pampers', 'anak', 'tetep', 'ngitung']","['kecewa', 'pedagang', 'loket', 'parkir', 'petugas', 'ngaku', 'petugas', 'ngomong', 'nyolot', 'toilet', 'ganti', 'pampers', 'anak', 'tetep', 'ngitung']","['kecewa', 'dagang', 'loket', 'parkir', 'tugas', 'ngaku', 'tugas', 'ngomong', 'nyolot', 'toilet', 'ganti', 'pampers', 'anak', 'tetep', 'ngitung']"
27,0,indah banget pemandangan untung di weekdays jadi gk terlalu rame sayang sih banyak pengunjung yg blum sadar akan lingkungan sampah berserakan padahal ada banyak tong sampah emang yg buang sampah itu orang sampah,"['indah', 'banget', 'pemandangan', 'untung', 'di', 'weekdays', 'jadi', 'gk', 'terlalu', 'rame', 'sayang', 'sih', 'banyak', 'pengunjung', 'yg', 'blum', 'sadar', 'akan', 'lingkungan', 'sampah', 'berserakan', 'padahal', 'ada', 'banyak', 'tong', 'sampah', 'emang', 'yg', 'buang', 'sampah', 'itu', 'orang', 'sampah']",<FreqDist with 28 samples and 33 outcomes>,"['indah', 'banget', 'pemandangan', 'untung', 'weekdays', 'rame', 'sayang', 'pengunjung', 'blum', 'sadar', 'lingkungan', 'sampah', 'berserakan', 'sampah', 'emang', 'buang', 'sampah', 'sampah']","['indah', 'banget', 'pemandangan', 'untung', 'weekdays', 'rame', 'sayang', 'pengunjung', 'blum', 'sadar', 'lingkungan', 'sampah', 'berserakan', 'sampah', 'emang', 'buang', 'sampah', 'sampah']","['indah', 'banget', 'pandang', 'untung', 'weekdays', 'rame', 'sayang', 'unjung', 'blum', 'sadar', 'lingkung', 'sampah', 'sera', 'sampah', 'emang', 'buang', 'sampah', 'sampah']"
28,0,sangat asik dgn pesona alam yang indah pengunjung dan pedagang lebih koreksi sampah,"['sangat', 'asik', 'dgn', 'pesona', 'alam', 'yang', 'indah', 'pengunjung', 'dan', 'pedagang', 'lebih', 'koreksi', 'sampah']",<FreqDist with 13 samples and 13 outcomes>,"['pesona', 'alam', 'indah', 'pengunjung', 'pedagang', 'koreksi', 'sampah']","['pesona', 'alam', 'indah', 'pengunjung', 'pedagang', 'koreksi', 'sampah']","['pesona', 'alam', 'indah', 'unjung', 'dagang', 'koreksi', 'sampah']"
29,0,parkir kurang luas tiket ,"['parkir', 'kurang', 'luas', 'tiket']",<FreqDist with 4 samples and 4 outcomes>,"['parkir', 'luas', 'tiket']","['parkir', 'luas', 'tiket']","['parkir', 'luas', 'tiket']"
30,0,spot foto banyak dan bagus tapi tempat parkir masih sangat kurang manajemenpengaturan parkir mobil masih perlu diperbaiki saran petugas parkir agar dilengkapi radio komunikasiht supaya tepat dlm mengarahkan kendaraan parkir terimakasih,"['spot', 'foto', 'banyak', 'dan', 'bagus', 'tapi', 'tempat', 'parkir', 'masih', 'sangat', 'kurang', 'manajemenpengaturan', 'parkir', 'mobil', 'masih', 'perlu', 'diperbaiki', 'saran', 'petugas', 'parkir', 'agar', 'dilengkapi', 'radio', 'komunikasiht', 'supaya', 'tepat', 'dlm', 'mengarahkan', 'kendaraan', 'parkir', 'terimakasih']",<FreqDist with 27 samples and 31 outcomes>,"['spot', 'foto', 'bagus', 'parkir', 'manajemenpengaturan', 'parkir', 'mobil', 'diperbaiki', 'saran', 'petugas', 'parkir', 'dilengkapi', 'radio', 'komunikasiht', 'mengarahkan', 'kendaraan', 'parkir', 'terimakasih']","['spot', 'foto', 'bagus', 'parkir', 'manajemenpengaturan', 'parkir', 'mobil', 'diperbaiki', 'saran', 'petugas', 'parkir', 'dilengkapi', 'radio', 'komunikasiht', 'mengarahkan', 'kendaraan', 'parkir', 'terimakasih']","['spot', 'foto', 'bagus', 'parkir', 'manajemenpengaturan', 'parkir', 'mobil', 'baik', 'saran', 'tugas', 'parkir', 'lengkap', 'radio', 'komunikasiht', 'arah', 'kendara', 'parkir', 'terimakasih']"
31,0,lokasinya memang perlu usaha menaiki tangga tp tangganya msh ada yg berupa tangga tanahfaktor keamanan di lokasi kurang sekali krn tidak dipagari jd tdk cocok utk anak kecil jangan lupa pakai jaket yang tahan angin karena anginnya kencang dan dingin intinya jika ingin mendapatkan pemandangan indah dgn latar telaga warna maka pantas sekali untuk mampir ke batu ratapan,"['lokasinya', 'memang', 'perlu', 'usaha', 'menaiki', 'tangga', 'tp', 'tangganya', 'msh', 'ada', 'yg', 'berupa', 'tangga', 'tanahfaktor', 'keamanan', 'di', 'lokasi', 'kurang', 'sekali', 'krn', 'tidak', 'dipagari', 'jd', 'tdk', 'cocok', 'utk', 'anak', 'kecil', 'jangan', 'lupa', 'pakai', 'jaket', 'yang', 'tahan', 'angin', 'karena', 'anginnya', 'kencang', 'dan', 'dingin', 'intinya', 'jika', 'ingin', 'mendapatkan', 'pemandangan', 'indah', 'dgn', 'latar', 'telaga', 'warna', 'maka', 'pantas', 'sekali', 'untuk', 'mampir', 'ke', 'batu', 'ratapan']",<FreqDist with 56 samples and 58 outcomes>,"['lokasinya', 'usaha', 'tangga', 'tangganya', 'tangga', 'tanahfaktor', 'keamanan', 'lokasi', 'dipagari', 'cocok', 'anak', 'lupa', 'pakai', 'jaket', 'tahan', 'angin', 'anginnya', 'kencang', 'dingin', 'intinya', 'pemandangan', 'indah', 'latar', 'telaga', 'warna', 'mampir', 'batu', 'ratapan']","['lokasinya', 'usaha', 'tangga', 'tangganya', 'tangga', 'tanahfaktor', 'keamanan', 'lokasi', 'dipagari', 'cocok', 'anak', 'lupa', 'pakai', 'jaket', 'tahan', 'angin', 'anginnya', 'kencang', 'dingin', 'intinya', 'pemandangan', 'indah', 'latar', 'telaga', 'warna', 'mampir', 'batu', 'ratapan']","['lokasi', 'usaha', 'tangga', 'tangga', 'tangga', 'tanahfaktor', 'aman', 'lokasi', 'pagar', 'cocok', 'anak', 'lupa', 'pakai', 'jaket', 'tahan', 'angin', 'angin', 'kencang', 'dingin', 'inti', 'pandang', 'indah', 'latar', 'telaga', 'warna', 'mampir', 'batu', 'ratap']"
32,1,dieng sangat indah dan nyaman untuk dikunjungimasyarakatnya juga ramah dan menyenangkan,"['dieng', 'sangat', 'indah', 'dan', 'nyaman', 'untuk', 'dikunjungimasyarakatnya', 'juga', 'ramah', 'dan', 'menyenangkan']",<FreqDist with 10 samples and 11 outcomes>,"['dieng', 'indah', 'nyaman', 'dikunjungimasyarakatnya', 'ramah', 'menyenangkan']","['dieng', 'indah', 'nyaman', 'dikunjungimasyarakatnya', 'ramah', 'menyenangkan']","['dieng', 'indah', 'nyaman', 'dikunjungimasyarakatnya', 'ramah', 'senang']"
33,1,bagus bisa nonton sejarah dieng kita bisa naik batu pandang untuk melihat telaga warna dan kota dieng,"['bagus', 'bisa', 'nonton', 'sejarah', 'dieng', 'kita', 'bisa', 'naik', 'batu', 'pandang', 'untuk', 'melihat', 'telaga', 'warna', 'dan', 'kota', 'dieng']",<FreqDist with 15 samples and 17 outcomes>,"['bagus', 'nonton', 'sejarah', 'dieng', 'batu', 'pandang', 'telaga', 'warna', 'kota', 'dieng']","['bagus', 'nonton', 'sejarah', 'dieng', 'batu', 'pandang', 'telaga', 'warna', 'kota', 'dieng']","['bagus', 'nonton', 'sejarah', 'dieng', 'batu', 'pandang', 'telaga', 'warna', 'kota', 'dieng']"
34,1,tempat yg sangat cocok untuk rekreasi saat kita sedang merindukan suasana sejuk,"['tempat', 'yg', 'sangat', 'cocok', 'untuk', 'rekreasi', 'saat', 'kita', 'sedang', 'merindukan', 'suasana', 'sejuk']",<FreqDist with 12 samples and 12 outcomes>,"['cocok', 'rekreasi', 'merindukan', 'suasana', 'sejuk']","['cocok', 'rekreasi', 'merindukan', 'suasana', 'sejuk']","['cocok', 'rekreasi', 'rindu', 'suasana', 'sejuk']"
