,sentiment,review,review_tokens,review_tokens_fdist,review_tokens_WSW,review_normalized,review_tokens_stemmed
10,negative,film jelek jelas ga ada isinya,"['film', 'jelek', 'jelas', 'ga', 'ada', 'isinya']",<FreqDist with 6 samples and 6 outcomes>,"['film', 'jelek', 'isinya']","['film', 'jelek', 'isinya']","['film', 'jelek', 'isi']"
11,negative,awal bulan ini nonton dua film indonesia di bioskop kartini dan critical eleven penggambaran kartini dan ale juga anya terlalu lemah,"['awal', 'bulan', 'ini', 'nonton', 'dua', 'film', 'indonesia', 'di', 'bioskop', 'kartini', 'dan', 'critical', 'eleven', 'penggambaran', 'kartini', 'dan', 'ale', 'juga', 'anya', 'terlalu', 'lemah']",<FreqDist with 19 samples and 21 outcomes>,"['nonton', 'film', 'indonesia', 'bioskop', 'kartini', 'critical', 'eleven', 'penggambaran', 'kartini', 'ale', 'anya', 'lemah']","['nonton', 'film', 'indonesia', 'bioskop', 'kartini', 'critical', 'eleven', 'penggambaran', 'kartini', 'ale', 'anya', 'lemah']","['nonton', 'film', 'indonesia', 'bioskop', 'kartini', 'critical', 'eleven', 'gambar', 'kartini', 'ale', 'anya', 'lemah']"
12,negative,nonton film miris ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh serakah gila kawin ironis,"['nonton', 'film', 'miris', 'ternyata', 'di', 'jaman', 'itu', 'dan', 'jaman', 'sekarang', 'bangsa', 'kita', 'tetap', 'bodoh', 'serakah', 'gila', 'kawin', 'ironis']",<FreqDist with 17 samples and 18 outcomes>,"['nonton', 'film', 'miris', 'jaman', 'jaman', 'bangsa', 'bodoh', 'serakah', 'gila', 'kawin', 'ironis']","['nonton', 'film', 'miris', 'jaman', 'jaman', 'bangsa', 'bodoh', 'serakah', 'gila', 'kawin', 'ironis']","['nonton', 'film', 'miris', 'jaman', 'jaman', 'bangsa', 'bodoh', 'serakah', 'gila', 'kawin', 'ironis']"
13,negative,btw danur jelek banget gausah ditonton hans gue kebayang lo bakal soal film ini ntar lol,"['btw', 'danur', 'jelek', 'banget', 'gausah', 'ditonton', 'hans', 'gue', 'kebayang', 'lo', 'bakal', 'soal', 'film', 'ini', 'ntar', 'lol']",<FreqDist with 16 samples and 16 outcomes>,"['danur', 'jelek', 'banget', 'gausah', 'ditonton', 'hans', 'gue', 'kebayang', 'film', 'lol']","['danur', 'jelek', 'banget', 'gausah', 'ditonton', 'hans', 'gue', 'kebayang', 'film', 'lol']","['danur', 'jelek', 'banget', 'gausah', 'tonton', 'hans', 'gue', 'bayang', 'film', 'lol']"
14,negative,film kartini trlalu singkat sehingga penonton yg mungkin blm baca biografi jelas ttg kartini agak bingung saya sndiri emg blm baca bukuny,"['film', 'kartini', 'trlalu', 'singkat', 'sehingga', 'penonton', 'yg', 'mungkin', 'blm', 'baca', 'biografi', 'jelas', 'ttg', 'kartini', 'agak', 'bingung', 'saya', 'sndiri', 'emg', 'blm', 'baca', 'bukuny']",<FreqDist with 19 samples and 22 outcomes>,"['film', 'kartini', 'trlalu', 'singkat', 'penonton', 'baca', 'biografi', 'kartini', 'bingung', 'sndiri', 'emg', 'baca', 'bukuny']","['film', 'kartini', 'trlalu', 'singkat', 'penonton', 'baca', 'biografi', 'kartini', 'bingung', 'sndiri', 'emg', 'baca', 'bukuny']","['film', 'kartini', 'trlalu', 'singkat', 'tonton', 'baca', 'biografi', 'kartini', 'bingung', 'sndiri', 'emg', 'baca', 'bukuny']"
15,negative,habis nonton the guys entah kenapa aku sedikit kecewa nonton film ini dibanding film sebelumnya kok ini anjlok ya,"['habis', 'nonton', 'the', 'guys', 'entah', 'kenapa', 'aku', 'sedikit', 'kecewa', 'nonton', 'film', 'ini', 'dibanding', 'film', 'sebelumnya', 'kok', 'ini', 'anjlok', 'ya']",<FreqDist with 16 samples and 19 outcomes>,"['habis', 'nonton', 'kecewa', 'nonton', 'film', 'dibanding', 'film', 'anjlok']","['habis', 'nonton', 'kecewa', 'nonton', 'film', 'dibanding', 'film', 'anjlok']","['habis', 'nonton', 'kecewa', 'nonton', 'film', 'banding', 'film', 'anjlok']"
16,negative,yang udah nonton film alien kok pada kecewa ya jadi ragu buat nonton,"['yang', 'udah', 'nonton', 'film', 'alien', 'kok', 'pada', 'kecewa', 'ya', 'jadi', 'ragu', 'buat', 'nonton']",<FreqDist with 12 samples and 13 outcomes>,"['nonton', 'film', 'alien', 'kecewa', 'ragu', 'nonton']","['nonton', 'film', 'alien', 'kecewa', 'ragu', 'nonton']","['nonton', 'film', 'alien', 'kecewa', 'ragu', 'nonton']"
17,negative,satusatunya kerugian nonton film action itu aktornya jadi keliatan jelek ,"['satusatunya', 'kerugian', 'nonton', 'film', 'action', 'itu', 'aktornya', 'jadi', 'keliatan', 'jelek']",<FreqDist with 10 samples and 10 outcomes>,"['satusatunya', 'kerugian', 'nonton', 'film', 'action', 'aktornya', 'keliatan', 'jelek']","['satusatunya', 'kerugian', 'nonton', 'film', 'action', 'aktornya', 'keliatan', 'jelek']","['satusatunya', 'rugi', 'nonton', 'film', 'action', 'aktor', 'liat', 'jelek']"
18,negative,ini film yang bilang baguskelompoknya doang yang kasih penghargaan juga dia aj waktu nonton ternyata jelek,"['ini', 'film', 'yang', 'bilang', 'baguskelompoknya', 'doang', 'yang', 'kasih', 'penghargaan', 'juga', 'dia', 'aj', 'waktu', 'nonton', 'ternyata', 'jelek']",<FreqDist with 15 samples and 16 outcomes>,"['film', 'baguskelompoknya', 'doang', 'kasih', 'penghargaan', 'nonton', 'jelek']","['film', 'baguskelompoknya', 'doang', 'kasih', 'penghargaan', 'nonton', 'jelek']","['film', 'baguskelompoknya', 'doang', 'kasih', 'harga', 'nonton', 'jelek']"
19,negative,baik kita sudahi saja hidup terlalu singkat untuk dihabisken dengan menonton film jelek,"['baik', 'kita', 'sudahi', 'saja', 'hidup', 'terlalu', 'singkat', 'untuk', 'dihabisken', 'dengan', 'menonton', 'film', 'jelek']",<FreqDist with 13 samples and 13 outcomes>,"['sudahi', 'hidup', 'singkat', 'dihabisken', 'menonton', 'film', 'jelek']","['sudahi', 'hidup', 'singkat', 'dihabisken', 'menonton', 'film', 'jelek']","['sudah', 'hidup', 'singkat', 'dihabisken', 'tonton', 'film', 'jelek']"
20,negative,film king arthur itu tidak jelek namun juga tidak bagus biasa saja cenderung mudah dilupakan,"['film', 'king', 'arthur', 'itu', 'tidak', 'jelek', 'namun', 'juga', 'tidak', 'bagus', 'biasa', 'saja', 'cenderung', 'mudah', 'dilupakan']",<FreqDist with 14 samples and 15 outcomes>,"['film', 'king', 'arthur', 'jelek', 'bagus', 'cenderung', 'mudah', 'dilupakan']","['film', 'king', 'arthur', 'jelek', 'bagus', 'cenderung', 'mudah', 'dilupakan']","['film', 'king', 'arthur', 'jelek', 'bagus', 'cenderung', 'mudah', 'lupa']"
21,negative,jelek ah jelek pantas film dimension tidak pernah dirilis akting kamu begini ternyata ga,"['jelek', 'ah', 'jelek', 'pantas', 'film', 'dimension', 'tidak', 'pernah', 'dirilis', 'akting', 'kamu', 'begini', 'ternyata', 'ga']",<FreqDist with 13 samples and 14 outcomes>,"['jelek', 'jelek', 'film', 'dimension', 'dirilis', 'akting']","['jelek', 'jelek', 'film', 'dimension', 'dirilis', 'akting']","['jelek', 'jelek', 'film', 'dimension', 'rilis', 'akting']"
22,negative,duh ini film ribet banget,"['duh', 'ini', 'film', 'ribet', 'banget']",<FreqDist with 5 samples and 5 outcomes>,"['film', 'ribet', 'banget']","['film', 'ribet', 'banget']","['film', 'ribet', 'banget']"
23,negative,dgn durasi film yg tll panjang alur yg datar akhirnya stlh selesai sy keluar dgn pertanyaan ini masalahnya apa sih,"['dgn', 'durasi', 'film', 'yg', 'tll', 'panjang', 'alur', 'yg', 'datar', 'akhirnya', 'stlh', 'selesai', 'sy', 'keluar', 'dgn', 'pertanyaan', 'ini', 'masalahnya', 'apa', 'sih']",<FreqDist with 18 samples and 20 outcomes>,"['durasi', 'film', 'tll', 'alur', 'datar', 'stlh', 'selesai']","['durasi', 'film', 'tll', 'alur', 'datar', 'stlh', 'selesai']","['durasi', 'film', 'tll', 'alur', 'datar', 'stlh', 'selesai']"
24,negative,banyak adegan penting yang di potong jadinya merusak film itu sendiri,"['banyak', 'adegan', 'penting', 'yang', 'di', 'potong', 'jadinya', 'merusak', 'film', 'itu', 'sendiri']",<FreqDist with 11 samples and 11 outcomes>,"['adegan', 'potong', 'merusak', 'film']","['adegan', 'potong', 'merusak', 'film']","['adegan', 'potong', 'rusak', 'film']"
25,negative,baru selesai nonton film goal ternyata penurunan kualitas film nya drastis parah,"['baru', 'selesai', 'nonton', 'film', 'goal', 'ternyata', 'penurunan', 'kualitas', 'film', 'nya', 'drastis', 'parah']",<FreqDist with 11 samples and 12 outcomes>,"['selesai', 'nonton', 'film', 'goal', 'penurunan', 'kualitas', 'film', 'drastis', 'parah']","['selesai', 'nonton', 'film', 'goal', 'penurunan', 'kualitas', 'film', 'drastis', 'parah']","['selesai', 'nonton', 'film', 'goal', 'turun', 'kualitas', 'film', 'drastis', 'parah']"
26,negative,baru keingat film yang cukup beda dengan buku sampai bikin kecewa teman yang ngajak nonton black bulter,"['baru', 'keingat', 'film', 'yang', 'cukup', 'beda', 'dengan', 'buku', 'sampai', 'bikin', 'kecewa', 'teman', 'yang', 'ngajak', 'nonton', 'black', 'bulter']",<FreqDist with 16 samples and 17 outcomes>,"['keingat', 'film', 'beda', 'buku', 'kecewa', 'teman', 'ngajak', 'nonton', 'black', 'bulter']","['keingat', 'film', 'beda', 'buku', 'kecewa', 'teman', 'ngajak', 'nonton', 'black', 'bulter']","['ingat', 'film', 'beda', 'buku', 'kecewa', 'teman', 'ngajak', 'nonton', 'black', 'bulter']"
27,negative,ogah nonton lagi saya kecewa ama itu film,"['ogah', 'nonton', 'lagi', 'saya', 'kecewa', 'ama', 'itu', 'film']",<FreqDist with 8 samples and 8 outcomes>,"['ogah', 'nonton', 'kecewa', 'film']","['ogah', 'nonton', 'kecewa', 'film']","['ogah', 'nonton', 'kecewa', 'film']"
28,negative,kecewa berat sama film power rangers dibawah ekspektasi banget,"['kecewa', 'berat', 'sama', 'film', 'power', 'rangers', 'dibawah', 'ekspektasi', 'banget']",<FreqDist with 9 samples and 9 outcomes>,"['kecewa', 'berat', 'film', 'power', 'rangers', 'dibawah', 'ekspektasi', 'banget']","['kecewa', 'berat', 'film', 'power', 'rangers', 'dibawah', 'ekspektasi', 'banget']","['kecewa', 'berat', 'film', 'power', 'rangers', 'bawah', 'ekspektasi', 'banget']"
29,negative,bahas soal film yang diangkat dari novel rasanya kalo di bikin film kurang puas aja gitu,"['bahas', 'soal', 'film', 'yang', 'diangkat', 'dari', 'novel', 'rasanya', 'kalo', 'di', 'bikin', 'film', 'kurang', 'puas', 'aja', 'gitu']",<FreqDist with 15 samples and 16 outcomes>,"['bahas', 'film', 'diangkat', 'novel', 'film', 'puas']","['bahas', 'film', 'diangkat', 'novel', 'film', 'puas']","['bahas', 'film', 'angkat', 'novel', 'film', 'puas']"
30,negative,sebenernya nggak ada yang salah sama akting prilly di film danur menurut aku oke oke aja yang kurang greget itu ceritanya sih kurang kuat,"['sebenernya', 'nggak', 'ada', 'yang', 'salah', 'sama', 'akting', 'prilly', 'di', 'film', 'danur', 'menurut', 'aku', 'oke', 'oke', 'aja', 'yang', 'kurang', 'greget', 'itu', 'ceritanya', 'sih', 'kurang', 'kuat']",<FreqDist with 21 samples and 24 outcomes>,"['sebenernya', 'nggak', 'salah', 'akting', 'prilly', 'film', 'danur', 'oke', 'oke', 'greget', 'ceritanya', 'kuat']","['sebenernya', 'nggak', 'salah', 'akting', 'prilly', 'film', 'danur', 'oke', 'oke', 'greget', 'ceritanya', 'kuat']","['sebenernya', 'nggak', 'salah', 'akting', 'prilly', 'film', 'danur', 'oke', 'oke', 'greget', 'cerita', 'kuat']"
31,negative,tadi abis nonton film balap mobil itutertidur sekitar menit entah lelah entah bosan,"['tadi', 'abis', 'nonton', 'film', 'balap', 'mobil', 'itutertidur', 'sekitar', 'menit', 'entah', 'lelah', 'entah', 'bosan']",<FreqDist with 12 samples and 13 outcomes>,"['abis', 'nonton', 'film', 'balap', 'mobil', 'itutertidur', 'menit', 'lelah', 'bosan']","['abis', 'nonton', 'film', 'balap', 'mobil', 'itutertidur', 'menit', 'lelah', 'bosan']","['abis', 'nonton', 'film', 'balap', 'mobil', 'itutertidur', 'menit', 'lelah', 'bosan']"
32,negative,the mummy film yg terasa mulai aneh sejak pertengahan filmnya,"['the', 'mummy', 'film', 'yg', 'terasa', 'mulai', 'aneh', 'sejak', 'pertengahan', 'filmnya']",<FreqDist with 10 samples and 10 outcomes>,"['mummy', 'film', 'aneh', 'pertengahan', 'filmnya']","['mummy', 'film', 'aneh', 'pertengahan', 'filmnya']","['mummy', 'film', 'aneh', 'tengah', 'film']"
33,negative,memang malah kelihatan aneh kalau ada film besutan marvel yang ga ada postcredit scene nyakaya film yg habis saya tonton,"['memang', 'malah', 'kelihatan', 'aneh', 'kalau', 'ada', 'film', 'besutan', 'marvel', 'yang', 'ga', 'ada', 'postcredit', 'scene', 'nyakaya', 'film', 'yg', 'habis', 'saya', 'tonton']",<FreqDist with 18 samples and 20 outcomes>,"['aneh', 'film', 'besutan', 'marvel', 'postcredit', 'scene', 'nyakaya', 'film', 'habis', 'tonton']","['aneh', 'film', 'besutan', 'marvel', 'postcredit', 'scene', 'nyakaya', 'film', 'habis', 'tonton']","['aneh', 'film', 'besut', 'marvel', 'postcredit', 'scene', 'nyakaya', 'film', 'habis', 'tonton']"
34,negative,film norak,"['film', 'norak']",<FreqDist with 2 samples and 2 outcomes>,"['film', 'norak']","['film', 'norak']","['film', 'norak']"
35,negative,adanya film critical eleven ini jadi merusak image ale anya di kepalaku,"['adanya', 'film', 'critical', 'eleven', 'ini', 'jadi', 'merusak', 'image', 'ale', 'anya', 'di', 'kepalaku']",<FreqDist with 12 samples and 12 outcomes>,"['film', 'critical', 'eleven', 'merusak', 'image', 'ale', 'anya', 'kepalaku']","['film', 'critical', 'eleven', 'merusak', 'image', 'ale', 'anya', 'kepalaku']","['film', 'critical', 'eleven', 'rusak', 'image', 'ale', 'anya', 'kepala']"
36,negative,kurang suka sama filmfilm romantis karena endingnya pasti jadian,"['kurang', 'suka', 'sama', 'filmfilm', 'romantis', 'karena', 'endingnya', 'pasti', 'jadian']",<FreqDist with 9 samples and 9 outcomes>,"['suka', 'filmfilm', 'romantis', 'endingnya', 'jadian']","['suka', 'filmfilm', 'romantis', 'endingnya', 'jadian']","['suka', 'filmfilm', 'romantis', 'endingnya', 'jadi']"
37,negative,dibalik novel yang diangkat jadi film terus jadinya kurang sesungguhny ada campur tangan produser yang sok tau dengan embel lebih menjual,"['dibalik', 'novel', 'yang', 'diangkat', 'jadi', 'film', 'terus', 'jadinya', 'kurang', 'sesungguhny', 'ada', 'campur', 'tangan', 'produser', 'yang', 'sok', 'tau', 'dengan', 'embel', 'lebih', 'menjual']",<FreqDist with 20 samples and 21 outcomes>,"['dibalik', 'novel', 'diangkat', 'film', 'sesungguhny', 'campur', 'tangan', 'produser', 'sok', 'embel', 'menjual']","['dibalik', 'novel', 'diangkat', 'film', 'sesungguhny', 'campur', 'tangan', 'produser', 'sok', 'embel', 'menjual']","['balik', 'novel', 'angkat', 'film', 'sesungguhny', 'campur', 'tangan', 'produser', 'sok', 'embel', 'jual']"
38,negative,karena ga respect kelakuan si dian sastro film itu jadi hambar ga bermutu,"['karena', 'ga', 'respect', 'kelakuan', 'si', 'dian', 'sastro', 'film', 'itu', 'jadi', 'hambar', 'ga', 'bermutu']",<FreqDist with 12 samples and 13 outcomes>,"['respect', 'kelakuan', 'dian', 'sastro', 'film', 'hambar', 'bermutu']","['respect', 'kelakuan', 'dian', 'sastro', 'film', 'hambar', 'bermutu']","['respect', 'laku', 'dian', 'sastro', 'film', 'hambar', 'mutu']"
39,negative,sebnarnya ini film lumyan bgussayangnya aktor  aktrisnya dari rusia jadi filmnya trsa hambar,"['sebnarnya', 'ini', 'film', 'lumyan', 'bgussayangnya', 'aktor', 'aktrisnya', 'dari', 'rusia', 'jadi', 'filmnya', 'trsa', 'hambar']",<FreqDist with 13 samples and 13 outcomes>,"['sebnarnya', 'film', 'lumyan', 'bgussayangnya', 'aktor', 'aktrisnya', 'rusia', 'filmnya', 'trsa', 'hambar']","['sebnarnya', 'film', 'lumyan', 'bgussayangnya', 'aktor', 'aktrisnya', 'rusia', 'filmnya', 'trsa', 'hambar']","['sebnarnya', 'film', 'lumyan', 'bgussayangnya', 'aktor', 'aktris', 'rusia', 'film', 'trsa', 'hambar']"
40,negative,kalo nolan bikin film gak ada perempuan seksi dan bumbu percintaan selalu hambar,"['kalo', 'nolan', 'bikin', 'film', 'gak', 'ada', 'perempuan', 'seksi', 'dan', 'bumbu', 'percintaan', 'selalu', 'hambar']",<FreqDist with 13 samples and 13 outcomes>,"['nolan', 'film', 'perempuan', 'seksi', 'bumbu', 'percintaan', 'hambar']","['nolan', 'film', 'perempuan', 'seksi', 'bumbu', 'percintaan', 'hambar']","['nol', 'film', 'perempuan', 'seksi', 'bumbu', 'cinta', 'hambar']"
41,negative,insidious meski creepy dan bagian awalnya bikin tegang bagian akhir film ini justru terasa agak datar hal tersebut berpengaruh,"['insidious', 'meski', 'creepy', 'dan', 'bagian', 'awalnya', 'bikin', 'tegang', 'bagian', 'akhir', 'film', 'ini', 'justru', 'terasa', 'agak', 'datar', 'hal', 'tersebut', 'berpengaruh']",<FreqDist with 18 samples and 19 outcomes>,"['insidious', 'creepy', 'tegang', 'film', 'datar', 'berpengaruh']","['insidious', 'creepy', 'tegang', 'film', 'datar', 'berpengaruh']","['insidious', 'creepy', 'tegang', 'film', 'datar', 'pengaruh']"
42,negative,ini gue nonton film homo aja rumit bener,"['ini', 'gue', 'nonton', 'film', 'homo', 'aja', 'rumit', 'bener']",<FreqDist with 8 samples and 8 outcomes>,"['gue', 'nonton', 'film', 'homo', 'rumit', 'bener']","['gue', 'nonton', 'film', 'homo', 'rumit', 'bener']","['gue', 'nonton', 'film', 'homo', 'rumit', 'bener']"
43,negative,sayang banget ketika ada film lokal yang bagus tapi budgetnya kurang jadi layar yang bisa di tonton jadi terbatas banget sayang banget,"['sayang', 'banget', 'ketika', 'ada', 'film', 'lokal', 'yang', 'bagus', 'tapi', 'budgetnya', 'kurang', 'jadi', 'layar', 'yang', 'bisa', 'di', 'tonton', 'jadi', 'terbatas', 'banget', 'sayang', 'banget']",<FreqDist with 17 samples and 22 outcomes>,"['sayang', 'banget', 'film', 'lokal', 'bagus', 'budgetnya', 'layar', 'tonton', 'terbatas', 'banget', 'sayang', 'banget']","['sayang', 'banget', 'film', 'lokal', 'bagus', 'budgetnya', 'layar', 'tonton', 'terbatas', 'banget', 'sayang', 'banget']","['sayang', 'banget', 'film', 'lokal', 'bagus', 'budgetnya', 'layar', 'tonton', 'batas', 'banget', 'sayang', 'banget']"
44,negative,film macam apa ini nonton nya bikin gue menderita,"['film', 'macam', 'apa', 'ini', 'nonton', 'nya', 'bikin', 'gue', 'menderita']",<FreqDist with 9 samples and 9 outcomes>,"['film', 'nonton', 'gue', 'menderita']","['film', 'nonton', 'gue', 'menderita']","['film', 'nonton', 'gue', 'derita']"
45,negative,jadi gue nonton the mummy ini karena seseorang bilang film nya bagus tapi kemudian setelah keluar dari bioskop merasa menyesal,"['jadi', 'gue', 'nonton', 'the', 'mummy', 'ini', 'karena', 'seseorang', 'bilang', 'film', 'nya', 'bagus', 'tapi', 'kemudian', 'setelah', 'keluar', 'dari', 'bioskop', 'merasa', 'menyesal']",<FreqDist with 20 samples and 20 outcomes>,"['gue', 'nonton', 'mummy', 'film', 'bagus', 'bioskop', 'menyesal']","['gue', 'nonton', 'mummy', 'film', 'bagus', 'bioskop', 'menyesal']","['gue', 'nonton', 'mummy', 'film', 'bagus', 'bioskop', 'sesal']"
46,negative,semalam nonton film ini paginya ane download malem langsung nonton ane smpai begadang hasilnya ane kecewa,"['semalam', 'nonton', 'film', 'ini', 'paginya', 'ane', 'download', 'malem', 'langsung', 'nonton', 'ane', 'smpai', 'begadang', 'hasilnya', 'ane', 'kecewa']",<FreqDist with 13 samples and 16 outcomes>,"['semalam', 'nonton', 'film', 'paginya', 'ane', 'download', 'malem', 'nonton', 'ane', 'smpai', 'begadang', 'hasilnya', 'ane', 'kecewa']","['semalam', 'nonton', 'film', 'paginya', 'ane', 'download', 'malem', 'nonton', 'ane', 'smpai', 'begadang', 'hasilnya', 'ane', 'kecewa']","['malam', 'nonton', 'film', 'pagi', 'ane', 'download', 'malem', 'nonton', 'ane', 'smpai', 'begadang', 'hasil', 'ane', 'kecewa']"
47,negative,aku takut kecewa nonton film danur takut ga sesuai ekspetasi ketika di buku mikir panjang serius,"['aku', 'takut', 'kecewa', 'nonton', 'film', 'danur', 'takut', 'ga', 'sesuai', 'ekspetasi', 'ketika', 'di', 'buku', 'mikir', 'panjang', 'serius']",<FreqDist with 15 samples and 16 outcomes>,"['takut', 'kecewa', 'nonton', 'film', 'danur', 'takut', 'sesuai', 'ekspetasi', 'buku', 'mikir', 'serius']","['takut', 'kecewa', 'nonton', 'film', 'danur', 'takut', 'sesuai', 'ekspetasi', 'buku', 'mikir', 'serius']","['takut', 'kecewa', 'nonton', 'film', 'danur', 'takut', 'sesuai', 'ekspetasi', 'buku', 'mikir', 'serius']"
48,negative,nonton alien covenant di mall kaya nonton bajakan parah ada yg di skip mati mati jelek parah film bagus jadi jelek,"['nonton', 'alien', 'covenant', 'di', 'mall', 'kaya', 'nonton', 'bajakan', 'parah', 'ada', 'yg', 'di', 'skip', 'mati', 'mati', 'jelek', 'parah', 'film', 'bagus', 'jadi', 'jelek']",<FreqDist with 16 samples and 21 outcomes>,"['nonton', 'alien', 'covenant', 'mall', 'kaya', 'nonton', 'bajakan', 'parah', 'skip', 'mati', 'mati', 'jelek', 'parah', 'film', 'bagus', 'jelek']","['nonton', 'alien', 'covenant', 'mall', 'kaya', 'nonton', 'bajakan', 'parah', 'skip', 'mati', 'mati', 'jelek', 'parah', 'film', 'bagus', 'jelek']","['nonton', 'alien', 'covenant', 'mall', 'kaya', 'nonton', 'baja', 'parah', 'skip', 'mati', 'mati', 'jelek', 'parah', 'film', 'bagus', 'jelek']"
